year,location,disaster_type,disaster_magnitude,weather,total_population,food_consumed,water_consumed,meds_consumed
2022,1,4,3.2594471894920938,1.4378071542956634,867,997.219463957297,1405.918521444542,215.45675523127056
2019,6,3,4.125826924908906,1.0603322015715229,220,202.6170359366093,390.5627697995501,66.14952660856538
2024,5,2,7.386753505794626,0.5757334166186119,380,434.52211442917525,606.5736986208071,148.27116160442475
2002,4,1,3.975461343334919,1.441229857676419,542,619.4476672217708,840.6091450818199,78.74852920257838
2004,3,2,4.613574553853462,1.0784202692984721,244,269.82993275756365,477.15670116981886,64.06136115508023
2018,1,3,4.179051123882532,1.9044007091198287,61,52.37936078197043,116.52547887907933,17.93577898308177
2006,6,4,1.7472637758023648,1.312985112334649,244,262.5755098575111,458.72425801998725,77.18472144362228
2020,2,2,4.52857726600627,1.9094772669402622,539,634.9471883235706,821.6425229201413,230.33855428480874
2008,8,1,2.5648741843561202,0.8307255402099561,844,905.6256656317922,1622.0535505237287,142.35855864659004
2006,5,3,2.493786366184332,1.5885888655461549,930,867.3614678681142,1598.6904952960035,393.51330007950355
2017,7,2,1.7522888354741308,1.4258735312730886,231,231.0535289306088,386.0466367406718,87.12196671917067
2003,2,1,3.853367793134118,1.6091123447469677,866,916.4791550168051,1535.624264323988,279.1536500385195
2024,8,3,7.059855078315339,0.8220017959588052,705,707.980855261438,1089.7020180600534,267.7668594535253
2013,2,1,3.2115335246671686,1.4974917743566607,947,803.0381743276914,1778.7721411183609,250.77231951488744
2017,4,3,3.4987928150841086,1.2470605895853035,365,337.561350519195,653.794401532114,56.706047551346195
2008,1,4,6.141397261379389,1.6142374623594744,743,832.8721002805395,1183.8182209883817,272.1654294068672
2020,5,2,2.566726500695351,0.9905669662277267,79,90.42081025661835,125.9351718908773,24.479644891265664
2001,9,1,8.175663443388274,1.8350855381978788,645,551.4234084406171,1026.9201901321874,229.45869854003612
2019,1,3,5.161524186012436,0.6264519719170256,727,858.5540675975491,1111.220367875128,170.99004552308492
2014,9,1,4.580823522561736,1.710783978186782,845,787.1420448328299,1515.8448448595368,391.02090314086456
2006,8,1,5.462561535433611,1.7919794387226362,842,896.6672672045065,1616.7865827647618,282.02617173625435
2011,6,2,2.3282745073295636,1.7258784670502318,145,159.6058584654875,218.76862051408565,19.453344088870683
2007,7,4,5.90778510911341,1.269089591392664,430,483.6547523577159,655.5359986688238,120.36628640116174
2014,3,1,3.9048058930720835,1.1575774700461419,827,974.4540014963376,1477.340509410052,332.9025829091942
2002,1,3,8.17749072771695,1.9943934297873152,493,456.1077348712838,941.5056864476619,205.90333557360415
2013,5,3,2.350833653421489,0.8437579268212432,347,396.76069589175574,577.189197513658,103.35007092360972
2016,2,4,5.056408830923528,1.320313948814067,857,730.7422704979318,1435.309769889109,392.4194672809701
2003,5,3,5.784901034952144,1.5060132880734884,786,850.4648609575696,1413.364173516233,162.75495665388715
2017,8,4,1.2670688142910498,1.551301453792148,894,980.5312360742013,1463.5731614384938,236.23009413240413
2007,9,3,3.909544998049122,0.806036998607868,410,439.1466115570165,620.4547150459252,188.36989333331107
2003,2,2,6.861081877606662,1.4809911385097019,423,381.0916533540679,790.0008315784876,193.94663642699115
2001,3,1,7.5630200595917865,1.727554349722006,603,692.9780070600671,1093.1334487518482,225.69391984051308
2005,3,2,3.505295958538259,0.5750278652316683,352,305.37527164255164,630.213055833796,156.14446103480861
2021,1,1,7.38874617906201,1.8672819399879748,470,386.0833408059162,879.2957703130785,63.68937418777174
2009,8,1,8.742047016827112,0.5442560827178089,295,320.6608688922056,542.0965485404005,131.5694071925176
2003,6,1,7.854991488600753,1.0339565487325915,769,761.4563300055888,1232.6616244545644,175.52268325484977
2021,8,2,1.9411519052746016,0.5237197943494432,286,325.9368134832725,479.4047897128992,49.001125021787956
2017,9,1,6.917842656684325,0.6157177528093728,583,555.808213294786,911.2611062993192,114.12104583496522
2011,5,2,3.557334659524358,1.8667524277701186,234,202.95087588432193,366.1932705698921,62.521852350099834
2001,3,4,8.907327915296612,1.0322912461192217,517,586.576245402769,950.2966004331654,103.64650655220383
2009,5,3,4.882871865279097,1.1371572956375793,803,818.709773682791,1549.227942953473,183.2663086284995
2003,5,3,1.9794711868715282,0.823016572073829,412,360.7794665859305,816.3229122753946,63.44445450460662
2013,5,1,6.801484384219126,1.3956436552800797,332,361.26699501228,602.3056215132078,72.53227446623501
2015,3,2,3.5840895870897107,1.3922048220166845,602,604.6761641482717,958.414498331648,198.00594254171386
2014,4,3,8.976625256653293,1.0583005877378289,385,401.0641992650093,597.8376914989192,106.54547104602383
2007,9,2,8.838259662836176,0.9995523077080976,211,207.6998197446355,402.25577749712795,50.36306344831091
2013,9,2,6.2490721441646455,1.8274464622708817,209,236.48007104718533,373.98005177961994,83.30339797245473
2022,2,1,2.0386115916137406,1.074926359463302,523,591.944520120894,946.1815329950878,239.22228601548213
2024,8,3,6.4948879814002325,1.2402514882316122,650,704.4410936743404,1228.9751788452804,261.7651979546232
2007,8,1,1.7442438916802177,0.924957143637396,371,312.441564405635,686.9579257443697,86.36890419426359
2020,7,1,1.2349132728191385,1.6801542550356912,61,69.26803423045928,116.95097671211094,24.26438889523631
2015,8,3,7.5836675697718885,1.0961722353486374,473,505.3556559168265,722.7945886412612,76.0546505240905
2012,3,3,2.678023581469451,1.2704165698164869,122,131.6147793010098,228.5987588415368,18.559517818855
2017,6,4,4.032217009752779,0.8800357550894922,637,602.0880277349065,1226.4966032070874,151.7657690368133
2014,1,4,8.787659119809385,1.9814893885118776,907,1044.602622973762,1490.2622417548455,383.7344194891839
2020,7,2,3.694724014888826,0.9372436113855843,250,272.53716002348574,455.0559092491566,49.63482472423019
2023,1,3,3.371918250266522,1.6561137963583275,571,482.515662555268,946.1932692254555,71.54707859245843
2024,9,4,8.345663996982202,1.1412434755351388,913,879.3205381651306,1806.8137918492403,139.4003222573609
2012,1,2,1.8859875625516649,0.8093261076262098,554,639.6218882103673,840.2583295646346,245.69788502615498
2008,1,2,7.076659280917054,1.6995781459472918,787,644.4575216943349,1408.6484840482678,278.21497803844613
2014,7,2,8.904524533222192,1.0004101835435648,737,873.0256194704762,1166.8565570877463,148.34370296146912
2012,2,4,8.21036808619719,1.7977900210967166,837,896.9836278733897,1553.564155866641,269.61304231987515
2000,5,3,6.213343349651407,1.8728857773767347,88,92.62443441304686,139.73917247042112,27.37080270937233
2024,8,1,3.512486359941856,1.789735753086914,109,98.99638358287643,176.3283877734605,39.47700866001283
2006,8,2,3.034575849426534,0.5525118722102085,627,563.9969806157856,1095.4852492628452,121.18343864894138
2008,3,4,7.554040838971689,1.6810600175076584,370,435.4246164843121,724.2444657494224,164.93164210477087
2023,7,4,8.038575311613563,1.1170091997487157,484,444.94554713972616,777.2348780598089,108.2937536186905
2000,3,1,5.203479300365543,1.8105843802733377,685,760.4884513010057,1076.9022072329506,258.69207318948895
2011,6,1,2.954719526291729,1.4569313940271083,725,694.0053214800529,1362.629101547086,77.17614744794233
2007,6,4,1.9035456672893885,1.7504647012159376,457,391.0556441394439,799.8915631383032,113.82172334465011
2023,3,3,1.6974357426546494,1.249147654800253,972,781.7661077439556,1901.1275646175409,233.9447772223847
2010,7,1,6.752619578830845,1.3025382568983992,435,442.70077664065366,684.3886661822658,138.06629057344452
2018,3,4,4.3609498227818,0.7165814482005008,720,857.0242997420926,1312.5340414882942,92.9480433918326
2016,8,1,8.242878994222963,1.6759810380340332,618,585.6504671096353,998.9596561609109,257.12047558509397
2007,4,3,6.9173704058141094,1.1290844175004575,127,119.74537056684667,200.4542872193791,23.763264729792485
2002,1,2,2.5300833433166936,1.250120177407374,243,227.84570525496576,447.5366739416084,90.10807560653139
2002,4,1,5.910219350525592,1.6776465711435615,334,336.74465666392905,600.1453315247585,140.70913966541087
2000,7,3,4.484043635185275,1.3982681001191586,576,562.3291891409573,1081.3903080083514,187.05645071804463
2004,4,4,5.617997846148905,0.8016480911640012,573,660.0764324458316,948.1610281518313,227.1104309806791
2009,6,1,6.904552986708137,1.385348988726339,662,663.4619056483801,1141.2786182625048,241.4606106745335
2006,9,1,7.449567048030326,1.1114492869694836,205,205.63614273146266,349.0608468238679,49.65344336646463
2008,1,4,7.749898611253794,1.204288313065794,389,332.73062013851865,774.905400741487,164.75838867362276
2006,5,2,3.031798996576198,0.5424669116040017,174,207.59867204736284,286.42565923632674,37.91121534403275
2008,7,4,1.2489247993388615,0.8150440242744224,920,827.9900238397292,1515.6159296395128,302.20635373255834
2007,1,1,6.914357881318185,0.9215571220715424,329,272.8547112776837,551.8231803523058,130.99434247102658
2011,4,4,1.8507498100461968,1.5694400117882086,966,1029.0397106040207,1721.6989412632254,243.02856355155293
2001,6,3,3.519356708903741,0.5172387099471729,955,991.4299533999252,1552.9841103859383,211.1572261098564
2000,2,4,1.0305370729947771,1.113165891843698,671,648.225093531653,1313.5797749972464,190.38846913038563
2015,5,1,6.4533558592129605,1.8860403056385993,895,867.1448197292827,1461.394290277653,382.330930976997
2022,1,4,2.33705609176977,0.6678209248236857,918,1022.6754718082495,1788.1794207861292,433.26727142708813
2022,6,2,6.2422592775332655,1.2746365823279167,707,620.9475346201807,1097.0784349990677,224.84958915677694
2023,6,4,8.933940937342712,1.6797835735862705,777,876.5347315280717,1420.574609882265,283.283696614591
2004,4,2,1.5813669728801303,1.913796961280175,959,1016.059392890129,1873.3995560911378,442.3957614908475
2002,8,3,1.6166240956116855,1.620164959300577,723,699.5660585770385,1145.50292198096,100.79974942862295
2011,4,2,3.7230407413333992,1.5808483229666093,177,174.0284260541379,351.1969359687841,34.131163312924485
2007,8,4,7.931092114010736,1.7397321352936437,363,327.6651744834211,626.6983299154153,139.2322809077298
2021,8,1,2.7242389503306548,1.1693018314663155,381,419.422224303019,751.6587281580152,163.63865599543445
2002,5,2,3.8830225594427805,1.7087667989267497,199,200.02482948749932,365.84359434118966,88.11951065511401
2000,4,3,1.5480432530158366,0.5119466071181766,503,466.95593400126853,830.3490977731982,133.81956398321245
2002,2,2,7.105242330071115,1.8868415830652072,85,88.2657039358723,135.502857308977,11.537556677923474
2004,3,2,4.266450742075609,1.164959764275763,734,879.5476351222684,1212.4707619646115,201.9326417351684
2014,3,2,7.073989864486743,1.3300702817986214,469,456.85520366356945,725.3125824720972,90.1858091228433
2013,4,3,8.228862754774362,0.8823233733723235,71,82.9476357821128,111.60731280518822,15.369979321904125
2002,4,4,2.86210517681031,1.6137962492606321,255,239.19171767230574,395.8442061441763,104.27129079742559
2000,5,2,7.459168242719611,0.6149537097128732,688,565.4624409457562,1177.492579047096,89.58505407432406
2004,4,2,1.4727511206260262,1.808953703820253,897,790.8820677649923,1702.3169017515274,386.63614083207597
2022,8,1,8.19077910544198,1.7421752435095141,405,391.82861321908484,636.1301697288089,109.78239190351539
2013,6,3,6.206148380469979,0.8240901743671496,489,434.1605920330977,765.3633459106361,165.49010492327642
2006,6,2,7.9938137931068125,1.7139865974278936,778,622.4706542935212,1417.2938613622416,105.69977436054332
2008,8,3,1.0015071964526552,1.6795365995922222,145,169.07008918935657,231.7957661926848,34.06682654472222
2014,7,2,2.35264856284794,1.4483248966309235,978,1112.5256256735395,1514.7313086352967,132.89099951860769
2014,8,4,4.118075099411937,1.0602802653495313,990,1085.947723668831,1567.5900462117609,479.7713142609194
2009,2,4,4.036023226997749,0.9072481312728018,213,184.69780354904165,417.87739366087663,90.07869252259654
2012,9,2,2.8138430633880853,0.8476753854340251,197,167.0846498053469,376.4149183984548,55.91906104328907
2018,1,4,4.052895518937601,0.9779134441454107,579,478.85725997780395,971.0016908017998,109.68635019176223
2006,8,2,2.0307896960020386,1.8553376651487956,343,373.7368046996448,626.973261596648,162.37004044027975
2016,4,4,4.302089034128208,0.6164611639831719,244,285.8516569631376,431.54763218750065,58.03262774295245
2019,4,1,7.4188346332741135,1.743306914379438,712,692.2166017960329,1309.0562377997928,117.04836614456434
2003,5,1,4.83256050482681,1.0233351125627355,529,448.4101661943638,974.0665198263998,172.06558459685687
2004,8,1,1.14400071156172,1.2823990940170373,926,930.5903007991723,1680.1038489727766,442.17393417572
2022,5,3,4.371552332633979,1.691728450472736,172,161.59963523315375,280.8847176942085,17.463523986422192
2006,8,3,1.2174001287267533,1.826564820534457,449,426.5185564132596,682.2569414612526,87.66722184841818
2012,1,1,8.729947285654386,1.0171721301089705,748,784.3021227473876,1292.3819764643008,355.583534010794
2014,9,3,2.0196316753829517,1.1927652219126654,501,544.8311098977454,974.6889581150213,84.38562775817527
2010,6,4,6.66150661064495,1.1217740972251884,710,599.4114220799777,1267.1715267740944,103.16114026570885
2003,3,2,8.782210583136687,0.5198765502558658,153,124.57812212535637,293.17791469019596,50.19545760694803
2012,8,2,7.608312413332575,0.9439143332879849,804,962.9766253437259,1604.6329858704137,357.56897357161733
2006,9,2,6.594523001009629,1.1887838505988428,511,456.3696745183388,808.3039401573296,148.6212467366385
2018,6,1,7.715687276006135,1.1166404133206598,792,650.6535102909999,1461.943945100225,394.2779565176574
2021,7,3,8.85438954608502,1.5828938412735192,767,671.8537509666282,1409.0915855139594,285.0698774182562
2001,1,4,5.970755978028237,1.0772054258316548,759,619.0276021513937,1510.3930922724667,98.38914182909194
2009,5,4,5.473478454634612,1.2340646734560052,445,425.7423392418566,886.7961633044981,221.22411943939161
2012,5,1,6.025904883706251,1.144412888198545,961,1077.243245943089,1771.4490729334443,252.8945446183052
2024,4,4,5.26140709409244,1.6109392233415558,386,361.48814304259207,626.0176548525635,82.9749512257425
2020,6,4,6.08071284727775,1.7944585984804438,648,633.5323390628727,1230.7320915543141,209.40228438338795
2005,7,4,4.598737663780474,1.2978336185112713,191,204.41482950055232,296.72128231715413,42.34910001511403
2011,9,4,2.747545463066457,1.6841482912927868,366,367.3020918582305,691.8679726634081,49.257379042390305
2011,1,3,1.961977812093405,0.9451800230297759,760,869.8794885504826,1485.8745271749847,76.43421629606972
2019,6,4,1.5467274842580832,1.312054415235903,607,695.8734619011097,1026.68993531222,169.8588380890397
2010,7,2,3.1065262700256007,1.0178449305049586,849,682.5656721887958,1541.2046827203176,369.0988181881508
2022,3,1,1.3689885146858707,1.1213013883577454,576,640.061869013729,987.881106843886,189.46141876916965
2024,8,3,5.537366239355085,1.5986207972190027,605,595.4975312584851,1039.9239291339088,302.30816634431267
2006,5,4,3.2706275761881622,1.822493723499069,450,537.9912974346593,744.8334500493271,96.632396216496
2000,9,3,7.596278464696257,0.6822430866316481,730,725.103766155627,1373.1773114643686,154.89287890993614
2000,5,4,1.5939269839070915,1.4519588847310707,359,428.9182577577595,706.5436932678876,58.84002248959439
2024,9,2,2.8108119547318875,1.3732157113666976,544,599.3942929983682,1071.8842337117733,90.10023680653694
2024,4,1,6.841969176721167,0.6776225587638978,605,544.1623820764202,960.3713386746674,129.51515623443157
2019,9,4,5.790466371067931,0.8178414956601636,659,669.120916540042,1276.7280325618385,274.8926359341018
2012,5,4,1.5159301699933403,0.9665037420990203,822,983.814198260558,1536.0843224265473,380.0128327612641
2008,9,4,8.017915657297603,0.7503966062262521,158,180.59593440992157,256.97415465453287,77.42550912552545
2002,3,4,8.018094102609435,0.8655942237865126,844,708.0710633439163,1294.3941066528791,162.82098722296243
2006,4,1,3.643264031006191,0.9014011982925613,421,455.7530442628033,687.9134246791616,190.51050668141303
2005,9,1,3.7232467467965176,1.0035107495585893,904,848.161578250886,1768.3181230252496,209.09704028268507
2007,6,2,8.91222686680139,1.6240856792017384,665,533.8572816601726,1208.0319094028443,96.51558484149126
2008,2,1,6.009409372745106,1.3578683057759011,817,785.4575806780234,1520.0508289767808,366.0241456599902
2004,7,4,5.250532164544473,1.9793700079271022,940,840.2676625685892,1530.8616050212752,333.17571862600056
2000,2,2,7.705217468415396,1.1221037404512066,255,287.5246655930881,474.22198983578954,42.3025514002683
2018,2,2,3.2823227068585314,1.6307976107553874,896,837.6992902103224,1356.5984348125098,243.65152269266008
2009,1,2,4.433460747170855,1.8072026320648007,92,104.05287193750047,155.26478190555864,19.771083171476093
2011,3,4,3.1422134039066734,1.518467739557063,914,731.4186064380012,1657.4262802838455,360.77209432044805
2023,6,3,7.313286772709851,1.117797110626244,294,271.3995320430716,462.4761951345741,82.72174872141392
2014,8,4,5.586794765081744,1.6303919461186294,336,301.2126048029632,642.2646005070851,166.55922462229813
2021,9,1,6.270600561120564,0.8055007066590273,404,360.94448554868757,653.4763223600075,49.24678913315058
2023,7,1,3.0184579987152524,0.9913282477701986,834,689.9470563537584,1523.0012240452922,201.8330927830519
2008,4,4,2.761802411018521,1.3200278826489331,525,459.2960967862054,893.8642499260241,153.69903509309526
2019,6,4,4.90699703186351,1.3631140809292224,132,134.93301728996073,237.33887730152472,39.76545169071129
2016,5,2,6.900525992742614,0.5332122132089442,159,145.73056423248056,247.0423189339982,35.9935183037265
2016,8,4,5.201918060161281,1.917671283134013,999,965.9909550187276,1506.9479435608428,391.30440353938815
2019,1,2,1.2611654203653488,1.5449409068260849,239,227.22847376119122,467.19294907194603,107.52582022554598
2011,1,1,7.94841205056231,1.2435556253478366,849,976.6573125299642,1387.957938721669,403.6890749516823
2006,6,2,1.5174951481210526,1.8996908516124624,985,1144.6878056101432,1881.190923869376,415.70679045901335
2001,2,4,8.646595869766017,1.1586433478762428,958,955.3011115385256,1915.688793926184,421.74233160788896
2002,5,1,1.2011356662181818,1.9706533554055576,300,279.6187140378725,481.7146886998367,96.06543607439947
2016,1,3,6.55560364904567,1.2684271358652277,773,651.4227776775308,1261.9884914673669,332.6646396111711
2004,7,2,1.6576565096942533,0.6714286549969692,340,401.6627915959649,622.6861638978932,75.2765316441215
2016,1,1,8.285412635481116,1.6472014586889159,694,571.9189999043226,1376.0106762064156,180.01770436151793
2023,4,2,4.715465889804342,1.5183465876167608,250,229.76502775682806,489.476793523843,56.69130138185444
2016,9,1,2.100190198536123,1.6594800819583801,846,777.6656024759294,1481.7163449877423,242.76387431557797
2016,1,1,3.726525598318773,1.9271630430885216,375,348.06019292103224,711.5831779737609,80.33694243579546
2001,4,2,2.3185974027740963,1.6647339539765271,560,484.8002528930197,878.0088388679723,271.4009630649961
2001,6,3,2.36465529245672,1.4170049033249703,458,509.87517414522137,910.8333441827189,103.1131358506384
2021,6,1,8.584866561371538,1.7859633535412613,656,556.9434389798756,1300.3078607638035,91.3268868003106
2022,8,1,4.561968898278305,1.5098696590317973,839,884.2746748118014,1327.1842978303123,260.69984092651873
2004,1,1,7.3104181112428765,1.1121785852388846,990,841.0430265755037,1633.2144467775377,121.61123506428984
2000,7,3,6.116844489421455,1.82842964636266,886,733.7978299629439,1373.3686638954978,127.77649813976095
2000,1,3,6.411410898707138,0.8328506911765593,557,648.2208934212133,911.173351293143,104.57995591292368
2018,7,4,2.053547507776308,1.5719619123630864,780,683.3201750914362,1488.2227578719305,222.87727796322818
2001,3,2,2.8734755745238854,1.8223451824111354,650,733.525040185523,1097.9525723287093,177.64524240034729
2020,8,3,7.2940026812354954,1.5969747795549445,121,123.16013416158538,186.8480165123789,50.805086120935094
2011,3,2,8.766129651798263,1.5459131285807854,296,246.01821192167833,494.6493776672779,117.15379901987903
2005,1,4,3.101405140789214,1.628957441107754,690,815.7037008369065,1373.5772503132416,186.6638491414336
2022,8,2,3.172550118008319,1.1975828724509665,773,694.7603928338932,1402.8727095676818,180.48134098238478
2003,3,3,4.783177062487239,1.811256023235539,989,1131.275698621491,1689.291587997845,224.09505097472885
2022,2,2,8.870722502843503,0.8051547127041367,904,784.2416980916985,1431.275408100766,370.27662356551366
2010,1,3,3.1516715666117685,0.6910796240005089,657,750.0161894268789,1309.4590779076937,79.38462835494968
2023,3,2,4.255775277074111,0.9282631701777673,636,512.1654100031068,1215.0299849456749,66.86182763549813
2016,2,3,8.131840124988054,1.2973660951624897,984,988.6367877057476,1614.4868328058521,411.52627266232867
2005,2,3,1.023368260970896,1.2658426931140072,615,681.2828745377029,944.0461239342658,178.8780084933061
2023,6,2,1.3181277199085564,1.73089813651488,393,461.3498553498655,600.6269220246901,59.874514980622145
2004,1,4,5.832573416569754,1.106852984606026,974,1133.4251522660472,1519.624158809195,189.1764881180177
2019,2,1,8.259041317702776,1.2265166394372629,103,116.16854462536297,184.4095820561427,48.71916286761217
2001,6,4,2.9108532832154212,0.5200515248890935,779,899.9604245544624,1530.2533525595393,345.72112720471824
2005,3,2,4.757134197445672,1.1146088546644086,577,507.5799034911973,1008.8104789797264,221.5183895916929
2021,4,4,4.603722413262546,1.471661349425513,660,603.0246540678964,1268.172009210545,193.30746080905425
2010,1,3,4.783770768764081,0.5232624959398883,581,531.956285191654,1001.0300630692741,179.02321072687803
2015,8,1,5.9801575658379615,0.9213229477793656,607,577.1486944472125,1125.555106140535,297.48937316694514
2015,7,2,4.75795010392547,0.8119345389340848,242,231.67344089328626,451.5566012116666,117.68657896799901
2000,7,2,4.579745130579663,0.5629781433643823,944,960.8240905896055,1498.1108691863758,175.68559168873105
2008,3,2,4.794307363450084,1.2188901348718062,107,92.4428538720837,179.8250591552059,45.415275437867614
2005,3,1,5.726939530168332,0.7725849398422348,486,523.1783514399964,883.8644240387398,86.94397430286807
2015,2,3,5.296059906810867,1.6146223094470702,160,138.72425851548843,245.6557286547493,29.66639858457289
2002,1,2,7.833087981204034,1.7718918256450227,178,164.4939639258438,299.1770767109031,65.93782403251787
2019,7,4,1.395974827949333,1.3183777740037217,898,899.2015709137305,1587.1249603602553,235.2763946126474
2003,7,2,7.6665365717841,1.9725610137817124,755,844.5250495800901,1508.5747461243511,356.8264109461692
2018,2,2,7.751396900893792,1.175717857205893,974,1067.297213269808,1692.0978449971287,132.07819271548507
2002,7,2,3.2792641722476867,1.2700523153373733,901,953.4505820503522,1719.1335690800029,274.4538409477413
2018,8,2,4.702815640126805,1.9838266309366253,375,323.3659890870255,643.5126159499908,175.27822956646818
2019,1,3,4.508307908299484,0.8473226539475732,57,58.07263388003518,108.1971355946617,26.31379145893272
2006,9,4,2.7480786748330424,1.913818909515358,78,65.12833085615642,140.22117726318422,12.683711458571127
2019,7,3,4.174374776690532,0.5642563326786698,161,153.1021885857043,312.8709330409431,39.7114678862118
2008,3,4,1.3551021773668355,1.1695803353947922,996,961.5449856675198,1698.6493910703548,346.25796577860376
2000,8,2,3.2225765822538754,0.6050052681995987,722,589.0975437119338,1301.1538955555538,118.23324272198096
2007,7,1,7.533457403605745,1.5938521143704645,180,163.72714316183797,326.70168125569444,87.69759638729319
2006,8,3,3.2764984141031803,1.4126134038200266,237,280.1955694968632,404.95987860335606,110.41823636338219
2017,6,1,7.54565334998598,1.5599513952013946,724,855.372003227478,1138.2409598148683,120.74877184838226
2007,9,3,5.252795716835447,1.0617205999520254,758,713.2255628493699,1172.4590152197752,112.53433585433079
2000,5,2,8.03890141888928,1.0542229010470705,524,428.2337828355687,790.3679462571039,70.30161799661242
2010,3,3,5.5982364341153215,0.567978918441342,413,359.9864839770156,799.8848255666368,191.54009329885147
2024,3,2,1.2373457845179185,1.0249174092944597,253,242.09244069547427,409.4140763981949,44.894729551300635
2024,1,3,6.403361660376714,1.8939326033930892,261,307.74820046798754,419.1016307812707,69.56014654003064
2017,8,2,1.3588285441885493,1.0688398057706734,670,573.8413490279655,1251.571859142732,187.29216599473682
2022,2,2,4.604776151865072,1.747051559332955,325,359.2570596768676,539.5026183767012,110.37143574776378
2009,3,4,8.435413555784912,1.763488257124901,122,102.90370792148498,213.86872623712202,15.70068477487434
2002,8,2,2.3216315147028013,1.0598617345688508,728,868.1422065363397,1151.154027768274,138.83210938703024
2006,8,4,4.118978823532353,1.4479830205942836,821,782.1228583074399,1625.4756186601383,388.0014430641753
2015,4,2,6.838882470787827,0.643057403409588,292,324.14739414340977,562.3308844025166,135.3023005289689
2015,4,1,8.058068448758782,0.6555178711014147,836,783.3624580920425,1615.0640623993713,344.8635924924635
2024,5,2,6.367544037940063,0.57298649549257,151,158.71120018039204,257.21141801718636,16.271835235340212
2019,6,1,3.0653860335293537,1.3715226400626643,734,643.5759224796749,1380.7865654305324,169.4091872304556
